economy,YR2000,YR2001,YR2002,YR2003,YR2004,YR2005,YR2006,YR2007,YR2008,YR2009,YR2010,YR2011,YR2012,YR2013,YR2014,YR2015,YR2016,YR2017,YR2018,YR2019,YR2020,YR2021
IRL,80.5650980845814,79.6163499312396,73.269877252658,65.6909092155543,66.1119457281796,68.6478884147673,70.9871284806495,72.5600686369384,75.7061617285325,80.0353254491411,86.6825560936544,84.5864705399851,87.029948019712,85.2336280146594,92.1227692835225,93.333745766542,106.042332931575,98.9870968481211,94.2914168801679,124.369852034006,114.428561007685,95.031243719261
ISL,39.0091014192339,37.7938446460294,33.9168111859217,35.5770687181891,38.0219231089409,42.0922285709927,47.1305912305027,41.830812198571,42.3876242998636,40.674938132502,41.9001643434464,46.8631654936856,49.1594207493416,45.5417720940414,45.1464939403677,44.1664864618796,40.8489873405107,41.2467069682322,43.32550475283,39.8463577232921,35.0085271398686,39.9833297266587
ITA,24.7778577250385,24.3857929628241,23.6504569605133,22.846651865801,23.4205019696086,24.6999183803436,26.9946907515411,27.7004133784664,27.6301011040243,23.0196000534853,26.932138522965,28.2730589939396,27.2754780086443,26.2343363170751,26.2132869642331,26.7021937892476,26.0397120675783,27.8704426276557,28.9499970418731,28.2765604958343,25.8430488731507,30.3133177378148
KAZ,49.0972658349839,46.9540498960605,47.0410448936046,43.0463103304131,43.9087892759115,44.5681447702344,40.478228955154,42.8488122066393,37.1484197092327,33.9276450175618,29.8940863973107,26.6531942561577,29.614069450738,26.7905716146741,25.6302765606214,24.5330208000299,28.4677079441317,24.427634998983,25.9027380865315,28.419629452657,26.4975355671251,23.9970496138763
KGZ,47.5830697836674,37.0223392232366,43.3393748971696,45.2516590876032,51.2598210718098,56.778448193841,79.0293681639999,84.145408981259,92.5571261314982,78.6808062104263,81.6785278167149,81.6413632547534,95.2717368722971,91.7766316872636,87.6775294863412,75.7719702273738,69.9981651422372,66.3646044484224,67.2738298966465,64.1389223468094,52.1642756151629,69.0795967818441
LIE,,,,,,,,,,,,,,,,,,,,,,
LTU,44.7846579106665,49.568675039751,53.0868363338602,52.0139224057471,55.8326608458145,62.3538990109735,67.297988454054,64.7461762982107,69.2277606166576,53.5494775163712,65.9450243568191,75.5662102013822,77.6165324305661,77.2182175559891,70.4512175629791,69.7746765905942,66.8664753811675,71.2781916542974,73.3893752389585,72.0070105183128,63.9473524210029,75.9728600016999
LUX,124.767442411862,124.56472473553,114.327478038346,112.129893572294,121.492521281147,130.253067056667,138.139235807883,137.908314571662,130.718718994128,115.607618528539,130.962019766895,139.225330437832,140.575047137918,144.15017538934,150.646260777047,159.296525319647,157.338775636266,161.046488439573,164.922567034797,173.522183780737,165.596791540086,176.68700121397
LVA,44.751379124087,48.3676477221757,46.6667697631497,48.564704648335,54.2233414315199,57.2659102287466,60.3877423338715,57.3116939357737,51.9189507756246,44.198418232245,55.3464013118104,65.7105552362294,66.7846886045742,64.7626819804466,64.0761740067067,61.9771565553587,59.2577312874961,62.219461865291,62.1234198668595,60.473860563268,58.931720739175,66.8955471202403
MCO,,,,,,,,,,,,,,,,,,,,,,
